Id,SL,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,zeros,zeros + 1
1,5,3,1,0.2,Iris-setosa,0,
2,4,3,1,0.2,Iris-setosa,0,
3,4,3,1,0.2,Iris-setosa,0,
4,4,3,1,0.2,Iris-setosa,0,
5,5,3,1,0.2,Iris-setosa,0,
6,5,3,1,0.4,Iris-setosa,0,
7,4,3,1,0.3,Iris-setosa,0,
8,5,3,1,0.2,Iris-setosa,0,
9,4,2,1,0.2,Iris-setosa,0,
10,4,3,1,0.1,Iris-setosa,0,
11,5,3,1,0.2,Iris-setosa,0,
12,4,3,1,0.2,Iris-setosa,0,
13,4,3,1,0.1,Iris-setosa,0,
14,4,3,1,0.1,Iris-setosa,0,
15,5,4,1,0.2,Iris-setosa,0,
16,5,4,1,0.4,Iris-setosa,0,
17,5,3,1,0.4,Iris-setosa,0,
18,5,3,1,0.3,Iris-setosa,0,
19,5,3,1,0.3,Iris-setosa,0,
20,5,3,1,0.3,Iris-setosa,0,
21,5,3,1,0.2,Iris-setosa,0,
22,5,3,1,0.4,Iris-setosa,0,
23,4,3,1,0.2,Iris-setosa,0,
24,5,3,1,0.5,Iris-setosa,0,
25,4,3,1,0.2,Iris-setosa,0,
26,5,3,1,0.2,Iris-setosa,0,
27,5,3,1,0.4,Iris-setosa,0,
28,5,3,1,0.2,Iris-setosa,0,
29,5,3,1,0.2,Iris-setosa,0,
30,4,3,1,0.2,Iris-setosa,0,
31,4,3,1,0.2,Iris-setosa,0,
32,5,3,1,0.4,Iris-setosa,0,
33,5,4,1,0.1,Iris-setosa,0,
34,5,4,1,0.2,Iris-setosa,0,
35,4,3,1,0.1,Iris-setosa,0,
36,5,3,1,0.2,Iris-setosa,0,
37,5,3,1,0.2,Iris-setosa,0,
38,4,3,1,0.1,Iris-setosa,0,
39,4,3,1,0.2,Iris-setosa,0,
40,5,3,1,0.2,Iris-setosa,0,
41,5,3,1,0.3,Iris-setosa,0,
42,4,2,1,0.3,Iris-setosa,0,
43,4,3,1,0.2,Iris-setosa,0,
44,5,3,1,0.6,Iris-setosa,0,
45,5,3,1,0.4,Iris-setosa,0,
46,4,3,1,0.3,Iris-setosa,0,
47,5,3,1,0.2,Iris-setosa,0,
48,4,3,1,0.2,Iris-setosa,0,
49,5,3,1,0.2,Iris-setosa,0,
50,5,3,1,0.2,Iris-setosa,0,
51,7,3,4,1.4,Iris-versicolor,0,
52,6,3,4,1.5,Iris-versicolor,0,
53,6,3,4,1.5,Iris-versicolor,0,
54,5,2,4,1.3,Iris-versicolor,0,
55,6,2,4,1.5,Iris-versicolor,0,
56,5,2,4,1.3,Iris-versicolor,0,
57,6,3,4,1.6,Iris-versicolor,0,
58,4,2,3,1.0,Iris-versicolor,0,
59,6,2,4,1.3,Iris-versicolor,0,
60,5,2,3,1.4,Iris-versicolor,0,
61,5,2,3,1.0,Iris-versicolor,0,
62,5,3,4,1.5,Iris-versicolor,0,
63,6,2,4,1.0,Iris-versicolor,0,
64,6,2,4,1.4,Iris-versicolor,0,
65,5,2,3,1.3,Iris-versicolor,0,
66,6,3,4,1.4,Iris-versicolor,0,
67,5,3,4,1.5,Iris-versicolor,0,
68,5,2,4,1.0,Iris-versicolor,0,
69,6,2,4,1.5,Iris-versicolor,0,
70,5,2,3,1.1,Iris-versicolor,0,
71,5,3,4,1.8,Iris-versicolor,0,
72,6,2,4,1.3,Iris-versicolor,0,
73,6,2,4,1.5,Iris-versicolor,0,
74,6,2,4,1.2,Iris-versicolor,0,
75,6,2,4,1.3,Iris-versicolor,0,
76,6,3,4,1.4,Iris-versicolor,0,
77,6,2,4,1.4,Iris-versicolor,0,
78,6,3,5,1.7,Iris-versicolor,0,
79,6,2,4,1.5,Iris-versicolor,0,
80,5,2,3,1.0,Iris-versicolor,0,
81,5,2,3,1.1,Iris-versicolor,0,
82,5,2,3,1.0,Iris-versicolor,0,
83,5,2,3,1.2,Iris-versicolor,0,
84,6,2,5,1.6,Iris-versicolor,0,
85,5,3,4,1.5,Iris-versicolor,0,
86,6,3,4,1.6,Iris-versicolor,0,
87,6,3,4,1.5,Iris-versicolor,0,
88,6,2,4,1.3,Iris-versicolor,0,
89,5,3,4,1.3,Iris-versicolor,0,
90,5,2,4,1.3,Iris-versicolor,0,
91,5,2,4,1.2,Iris-versicolor,0,
92,6,3,4,1.4,Iris-versicolor,0,
93,5,2,4,1.2,Iris-versicolor,0,
94,5,2,3,1.0,Iris-versicolor,0,
95,5,2,4,1.3,Iris-versicolor,0,
96,5,3,4,1.2,Iris-versicolor,0,
97,5,2,4,1.3,Iris-versicolor,0,
98,6,2,4,1.3,Iris-versicolor,0,
99,5,2,3,1.1,Iris-versicolor,0,
100,5,2,4,1.3,Iris-versicolor,0,
101,6,3,6,2.5,Iris-virginica,0,
102,5,2,5,1.9,Iris-virginica,0,
103,7,3,5,2.1,Iris-virginica,0,
104,6,2,5,1.8,Iris-virginica,0,
105,6,3,5,2.2,Iris-virginica,0,
106,7,3,6,2.1,Iris-virginica,0,
107,4,2,4,1.7,Iris-virginica,0,
108,7,2,6,1.8,Iris-virginica,0,
109,6,2,5,1.8,Iris-virginica,0,
110,7,3,6,2.5,Iris-virginica,0,
111,6,3,5,2.0,Iris-virginica,0,
112,6,2,5,1.9,Iris-virginica,0,
113,6,3,5,2.1,Iris-virginica,0,
114,5,2,5,2.0,Iris-virginica,0,
115,5,2,5,2.4,Iris-virginica,0,
116,6,3,5,2.3,Iris-virginica,0,
117,6,3,5,1.8,Iris-virginica,0,
118,7,3,6,2.2,Iris-virginica,0,
119,7,2,6,2.3,Iris-virginica,0,
120,6,2,5,1.5,Iris-virginica,0,
121,6,3,5,2.3,Iris-virginica,0,
122,5,2,4,2.0,Iris-virginica,0,
123,7,2,6,2.0,Iris-virginica,0,
124,6,2,4,1.8,Iris-virginica,0,
125,6,3,5,2.1,Iris-virginica,0,
126,7,3,6,1.8,Iris-virginica,0,
127,6,2,4,1.8,Iris-virginica,0,
128,6,3,4,1.8,Iris-virginica,0,
129,6,2,5,2.1,Iris-virginica,0,
130,7,3,5,1.6,Iris-virginica,0,
131,7,2,6,1.9,Iris-virginica,0,
132,7,3,6,2.0,Iris-virginica,0,
133,6,2,5,2.2,Iris-virginica,0,
134,6,2,5,1.5,Iris-virginica,0,
135,6,2,5,1.4,Iris-virginica,0,
136,7,3,6,2.3,Iris-virginica,0,
137,6,3,5,2.4,Iris-virginica,0,
138,6,3,5,1.8,Iris-virginica,0,
139,6,3,4,1.8,Iris-virginica,0,
140,6,3,5,2.1,Iris-virginica,0,
141,6,3,5,2.4,Iris-virginica,0,
142,6,3,5,2.3,Iris-virginica,0,
143,5,2,5,1.9,Iris-virginica,0,
144,6,3,5,2.3,Iris-virginica,0,
145,6,3,5,2.5,Iris-virginica,0,
146,6,3,5,2.3,Iris-virginica,0,
147,6,2,5,1.9,Iris-virginica,0,
148,6,3,5,2.0,Iris-virginica,0,
149,6,3,5,2.3,Iris-virginica,0,
150,5,3,5,1.8,Iris-virginica,0,
